epoch,week,tow,time_gps_s,gt_ecef_x_m,gt_ecef_y_m,gt_ecef_z_m,gt_lat_deg,gt_lon_deg,gt_h_m,gt_vel_x_mps,gt_vel_y_mps,gt_vel_z_mps,speed_mps,is_static
1,1900,130925.9,1149250925.9,3784144.348412214,901246.3434095364,5037714.15416023,52.5116592071648,13.3962173447854,75.4481837682877,0.0006903935111018826,-0.002102214335939224,-0.00014155817902332567,0.0022172025240037,1
2,1900,130926.1,1149250926.1,3784144.3457694827,901246.3437296329,5037714.15599387,52.5116592349959,13.3962173583901,75.4481192514583,0.00021237308418900258,-0.000646654301082817,-4.3546954173075146e-05,0.0006820267217746,1
3,1900,130926.3,1149250926.3,3784144.3418856133,901246.3418550804,5037714.159188514,52.5116592825054,13.3962173447846,75.4480904028076,5.19720838166261e-05,-0.00015825987501222067,-1.0655027310269957e-05,0.0001669155928669,1
4,1900,130926.5,1149250926.5,3784144.3468619296,901246.3428322718,5037714.155320668,52.5116592252187,13.3962173418045,75.448105321806,-9.366520204613033e-05,0.0002852206430792367,1.9202485864560993e-05,-0.0003008200804073,1
5,1900,130926.7,1149250926.7,3784144.3459743666,901246.3422633834,5037714.1561603835,52.5116592369077,13.3962173366821,75.4481659296523,6.871326963556323e-05,-0.00020924627134124213,-1.4085805809204985e-05,0.0002206896586148,1
6,1900,130926.9,1149250926.9,3784144.347217949,901246.34440863,5037714.154974608,52.5116592182523,13.3962173631761,75.4482637797626,0.00016657695163128618,-0.0005072092707281724,-3.4156576746783256e-05,0.0005349540137829,1
7,1900,130927.1,1149250927.1,3784144.3453533202,901246.3442778462,5037714.156544857,52.5116592399904,13.3962173676652,75.4483873604393,0.00030674619764072035,-0.0009339662550841623,-6.290600627585467e-05,0.0009850600799081,1
8,1900,130927.3,1149250927.3,3784144.348580263,901246.3447502668,5037714.154219438,52.511659204108,13.3962173634223,75.4485192879619,0.0006062292455807862,-0.0018458094787662945,-0.00012432403893624654,0.001946787866399,1
9,1900,130927.5,1149250927.5,3784144.34686106,901246.3427865602,5037714.156003047,52.5116592290323,13.3962173411525,75.4486398137825,0.0005367851477281108,-0.0016344015175437357,-0.00011007707463277244,0.0017238107720195,1
10,1900,130927.7,1149250927.7,3784144.3474384937,901246.3443408343,5037714.155420766,52.5116592192746,13.3962173614521,75.4487388092232,3.545200589719991e-05,-0.00010795561469094291,-7.268007971632117e-06,0.0001138599288833,1
11,1900,130927.9,1149250927.9,3784144.3521964788,901246.3447308409,5037714.15189021,52.5116591663171,13.3962173508037,75.448809305683,-0.0004290627570501173,0.0013065729316907027,8.795756310027067e-05,-0.0013780291028207,1
12,1900,130928.1,1149250928.1,3784144.3532278137,901246.3460345424,5037714.150932213,52.51165915177,13.3962173659641,75.4488435750776,-0.0009351918518288702,0.002847478023425124,0.0001917756246674982,-0.0030032470400939,1
13,1900,130928.3,1149250928.3,3784144.3455004594,901246.343762698,5037714.15708993,52.5116592428019,13.3962173597819,75.4488343388354,-0.0015054613198803059,0.004583910029074213,0.00030870545669708975,-0.0048346606912272,1
14,1900,130928.5,1149250928.5,3784144.344027935,901246.3465515345,5037714.157617893,52.5116592512964,13.3962174047661,75.4487747051411,-0.0019025290152607792,0.005793182625512524,0.00039008088575825885,-0.0061100527562275,1
15,1900,130928.7,1149250928.7,3784144.3419790966,901246.3459604575,5037714.159103341,52.5116592746089,13.3962174032886,75.4486570351657,-0.001585782610692913,0.004828227602110996,0.0003252201546079959,-0.0050923723759291,1
16,1900,130928.9,1149250928.9,3784144.3424366284,901246.3458746074,5037714.158540652,52.5116592684996,13.3962174004972,75.4484693250244,-0.00028826042937678145,0.0008775940027108821,5.9130613010781796e-05,-0.0009256142490982,1
17,1900,130929.1,1149250929.1,3784144.343171357,901246.3454576174,5037714.157720489,52.5116592596064,13.3962173920152,75.4481947380715,0.0006133461509987377,-0.0018672595599074243,-0.00012582247869892088,0.0019694372447876,1
18,1900,130929.3,1149250929.3,3784144.342772944,901246.3450427123,5037714.157612366,52.5116592624641,13.3962173874299,75.4478145648294,0.000966405600377825,-0.0029421178814951197,-0.000198247560983299,0.003103111262667,1
19,1900,130929.5,1149250929.5,3784144.347386604,901246.3443390217,5037714.153670203,52.5116592100634,13.3962173616032,75.447318800415,0.0010152614550370197,-0.0030908600951338556,-0.00020826877357873176,0.003259991998736,1
20,1900,130929.7,1149250929.7,3784144.3442079243,901246.3437800378,5037714.155369835,52.5116592423315,13.3962173644411,75.4467066936142,0.0021122334999594105,-0.006429933847479496,-0.00043339650864491726,0.0067818443048347,1
21,1900,130929.9,1149250929.9,3784144.3485726486,901246.3434256639,5037714.151271711,52.5116591902275,13.396217344469,75.445989052358,0.0044055417409206155,-0.01341121734568991,-0.0009039230549909845,0.0141451979701124,1
22,1900,130930.1,1149250930.1,3784144.354141419,901246.3326274352,5037714.148022822,52.5116591516698,13.3962171707456,75.445185494082,0.007840491730146412,-0.023869010461722285,-0.0016084843388873443,0.0251751900263086,1
23,1900,130930.3,1149250930.3,3784144.359273912,901246.3293737676,5037714.143683992,52.5116590977134,13.3962171066116,75.4443225982601,0.012746284666239737,-0.03881514392522897,-0.002612904084559384,0.0409378851247126,1
24,1900,130930.5,1149250930.5,3784144.368255968,901246.3219437696,5037714.137178566,52.5116590121043,13.3962169695014,75.4434307864241,0.021981940460141534,-0.06694511374125088,-0.004505186541158327,0.0706055993954648,1
25,1900,130930.7,1149250930.7,3784144.3717231634,901246.283953326,5037714.140220096,52.5116590674501,13.3962164133318,75.442540136821,0.044578040256823014,-0.13578807465891737,-0.009131367872987909,0.143209583380256,0
